category,name,ingredient_direction,quantity,unit,ingredient,note
Contemporary Classics,Bellini,100 ml Prosecco,100,ml,Prosecco,NA
Contemporary Classics,Bellini,50 ml White Peach Puree,50,ml,White Peach Puree,NA
Contemporary Classics,Black Russian,50 ml Vodka,50,ml,Vodka,NA
Contemporary Classics,Black Russian,20 ml Coffee Liqueur,20,ml,Coffee Liqueur,NA
Contemporary Classics,Bloody Mary,45 ml Vodka,45,ml,Vodka,NA
Contemporary Classics,Bloody Mary,90 ml Tomato Juice,90,ml,Tomato Juice,NA
Contemporary Classics,Bloody Mary,15 ml Fresh Lemon Juice,15,ml,Fresh Lemon Juice,NA
Contemporary Classics,Bloody Mary,2 dashes Worcestershire Sauce,2,dash,Worcestershire Sauce,NA
Contemporary Classics,Bloody Mary,Tabasco,1,dash,Tabasco,NA
Contemporary Classics,Bloody Mary,Celery Salt,1,dash,Celery Salt,NA
Contemporary Classics,Bloody Mary,Pepper (Up to taste),1,dash,Pepper,Up to taste
Contemporary Classics,Caipirinha,60 ml Cachaça,60,ml,Cachaça,NA
Contemporary Classics,Caipirinha,1 Lime cut into small wedges,1,piece,Lime cut into small wedges,NA
Contemporary Classics,Caipirinha,4 Teaspoons White Cane Sugar,4,teaspoon,White Cane Sugar,NA
Contemporary Classics,Champagne Cocktail,90 ml Chilled Champagne,90,ml,Chilled Champagne,NA
Contemporary Classics,Champagne Cocktail,10 ml Cognac,10,ml,Cognac,NA
Contemporary Classics,Champagne Cocktail,2 dashes Angostura bitters,2,dash,Angostura bitters,NA
Contemporary Classics,Champagne Cocktail,Few drops of Grand Marnier (optional),few,drops,Grand Marnier,optional
Contemporary Classics,Champagne Cocktail,1 sugar cube,1,piece,Sugar Cube,NA
Contemporary Classics,Corpse Reviver #2,30 ml Gin,30,ml,Gin,NA
Contemporary Classics,Corpse Reviver #2,30 ml Cointreau,30,ml,Cointreau,NA
Contemporary Classics,Corpse Reviver #2,30 ml Lillet Blanc,30,ml,Lillet Blanc,NA
Contemporary Classics,Corpse Reviver #2,30 ml Fresh Lemon Juice,30,ml,Fresh Lemon Juice,NA
Contemporary Classics,Corpse Reviver #2,1 dash Absinthe,1,dash,Absinthe,NA
Contemporary Classics,Cosmopolitan,40 ml Vodka Citron,40,ml,Vodka Citron,NA
Contemporary Classics,Cosmopolitan,15 ml Cointreau,15,ml,Cointreau,NA
Contemporary Classics,Cosmopolitan,15 ml Fresh Lime Juice,15,ml,Fresh Lime Juice,NA
Contemporary Classics,Cosmopolitan,30 ml Cranberry Juice,30,ml,Cranberry Juice,NA
Contemporary Classics,Cuba Libre,50 ml White Rum,50,ml,White Rum,NA
Contemporary Classics,Cuba Libre,120 ml Coca Cola,120,ml,Coca Cola,NA
Contemporary Classics,Cuba Libre,10 ml Fresh Lime Juice,10,ml,Fresh Lime Juice,NA
Contemporary Classics,French 75,30 ml Gin,30,ml,Gin,NA
Contemporary Classics,French 75,15 ml Fresh Lemon Juice,15,ml,Fresh Lemon Juice,NA
Contemporary Classics,French 75,15 ml Sugar Syrup,15,ml,Sugar Syrup,NA
