category,name,ingredient
Contemporary classics,Bellini,10 cl (2 parts) Prosecco
Contemporary classics,Bellini,5 cl (1 part) fresh peach purée
Contemporary classics,Black Russian,50 ml Vodka
Contemporary classics,Black Russian,20 ml Coffee liqueur
Contemporary classics,Bloody Mary,4.5 cl (3 parts) vodka
Contemporary classics,Bloody Mary,9 cl (6 parts) Tomato juice
Contemporary classics,Bloody Mary,1.5 cl (1 part) Lemon juice
Contemporary classics,Bloody Mary,2 to 3 dashes of Worcestershire Sauce
Contemporary classics,Bloody Mary,Tabasco sauce
Contemporary classics,Bloody Mary,Celery salt
Contemporary classics,Bloody Mary,Black pepper
Contemporary classics,Caipirinha,60 ml cachaça
Contemporary classics,Caipirinha,1 lime cut into small wedges
Contemporary classics,Caipirinha,4 teaspoons white cane sugar
Contemporary classics,Champagne cocktail,9cl Champagne
Contemporary classics,Champagne cocktail,1cl Cognac
Contemporary classics,Champagne cocktail,2 dashes Angostura bitters
Contemporary classics,Champagne cocktail,1 Sugar cube
Contemporary classics,Corpse reviver #2,3 cl gin
Contemporary classics,Corpse reviver #2,3 cl lemon juice
Contemporary classics,Corpse reviver #2,3 cl Cointreau
Contemporary classics,Corpse reviver #2,3 cl Lillet Blanc
Contemporary classics,Corpse reviver #2,1 dash absinthe
Contemporary classics,Cosmopolitan,4 cl Vodka Citron
Contemporary classics,Cosmopolitan,1.5 cl Cointreau
Contemporary classics,Cosmopolitan,1.5 cl Fresh lime juice
Contemporary classics,Cosmopolitan,3 cl Cranberry juice
Contemporary classics,Cuba libre,120 ml cola
Contemporary classics,Cuba libre,50 ml white rum
Contemporary classics,Cuba libre,10 ml Fresh lime juice
Contemporary classics,French 75,30 ml (1.0 US fl oz) gin
Contemporary classics,French 75,15 ml (0.51 US fl oz) lemon juice
Contemporary classics,French 75,15 ml (0.51 US fl oz) simple syrup
Contemporary classics,French 75,60 ml (2.0 US fl oz) Champagne
Contemporary classics,French Connection,3.5cl Cognac
Contemporary classics,French Connection,3.5cl Amaretto liqueur
Contemporary classics,Golden dream,2 cl (2 parts) Galliano
Contemporary classics,Golden dream,2 cl (2 parts) Triple Sec
Contemporary classics,Golden dream,2 cl (2 parts) Fresh orange juice
Contemporary classics,Golden dream,1 cl (1 part) Fresh cream
Contemporary classics,Grasshopper,3 cl crème de menthe (green)
Contemporary classics,Grasshopper,3 cl crème de cacao (white)
Contemporary classics,Grasshopper,3 cl cream
Contemporary classics,Hemingway special,6 cL (12 parts) Rum
Contemporary classics,Hemingway special,4 cl (8 parts) grapefruit juice
Contemporary classics,Hemingway special,1.5 cL (3 parts) Maraschino liqueur
Contemporary classics,Hemingway special,1.5 cl (3 parts) fresh lime juice
Contemporary classics,Horse's neck,4 cL (1 part) Brandy
Contemporary classics,Horse's neck,12 cL (3 parts) Ginger ale
Contemporary classics,Horse's neck,Dash of Angostura bitter (optional)
Contemporary classics,Irish coffee,50 ml Irish whiskey
Contemporary classics,Irish coffee,120 ml hot coffee
Contemporary classics,Irish coffee,50 ml fresh cream (chilled)
Contemporary classics,Irish coffee,1 tsp sugar
Contemporary classics,Kir,9 cl (9 parts) white wine
Contemporary classics,Kir,1 cl (1 part) crème de cassis
Contemporary classics,Long Island iced tea,15 ml Tequila
Contemporary classics,Long Island iced tea,15 ml Vodka
Contemporary classics,Long Island iced tea,15 ml White rum
Contemporary classics,Long Island iced tea,15 ml Cointreau
Contemporary classics,Long Island iced tea,15 ml Gin
Contemporary classics,Long Island iced tea,30 ml Lemon juice
Contemporary classics,Long Island iced tea,20 ml simple syrup
Contemporary classics,Long Island iced tea,Top with Cola
Contemporary classics,Mai Tai,30 ml amber Jamaican rum
Contemporary classics,Mai Tai,30 ml Martinique molasses rhum
Contemporary classics,Mai Tai,15 ml orange curaçao
Contemporary classics,Mai Tai,15 ml orgeat syrup (almond)
Contemporary classics,Mai Tai,30 ml fresh lime juice
Contemporary classics,Mai Tai,7.5 ml simple syrup
Contemporary classics,Margarita,50 ml tequila 100% agave
Contemporary classics,Margarita,20 ml triple sec
Contemporary classics,Margarita,15 ml freshly squeezed lime juice
Contemporary classics,Mimosa,7.5 cl champagne
Contemporary classics,Mimosa,7.5 cl orange juice
Contemporary classics,Mint julep,6 cL (2.0 US fl oz) bourbon whiskey
Contemporary classics,Mint julep,4 mint leaves
Contemporary classics,Mint julep,1 teaspoon powdered sugar
Contemporary classics,Mint julep,2 teaspoons water
Contemporary classics,Mojito,45 ml white rum
Contemporary classics,Mojito,20 ml fresh lime juice
Contemporary classics,Mojito,6 sprigs of mint
Contemporary classics,Mojito,2 teaspoons white cane sugar (or 2 cl of sugar syrup)
Contemporary classics,Mojito,Soda water
Contemporary classics,Moscow mule,4.5 cl (9 parts) vodka
Contemporary classics,Moscow mule,1 cl (2 parts) lime juice
